数据集,规范字段名,中文字段名,数据类型,单位,小数位数,默认格式,字段说明
kline_daily,amount,成交额 （千元）,float,万,2,%.2f,成交额 （千元）
kline_daily,change,涨跌额,float,元,3,%.3f,涨跌额
kline_daily,close,收盘价,float,元,3,%.3f,收盘价
kline_daily,high,最高价,float,元,3,%.3f,最高价
kline_daily,low,最低价,float,元,3,%.3f,最低价
kline_daily,open,开盘价,float,元,3,%.3f,开盘价
kline_daily,pct_chg,涨跌幅 【基于除权后的昨收计算的涨跌幅：（今收-除权昨收）/除权昨收 】,float,%,2,%.2f,涨跌幅 【基于除权后的昨收计算的涨跌幅：（今收-除权昨收）/除权昨收 】
kline_daily,pre_close,昨收价【除权价，前复权】,float,元,3,%.3f,昨收价【除权价，前复权】
kline_daily,trade_date,交易日期,str,无,0,YYYY-MM-DD,交易日期
kline_daily,ts_code,股票代码,str,无,0,,股票代码
kline_daily,vol,成交量 （手）,float,手,0,%.0f,成交量 （手）
kline_m1,amount_m,分钟成交额,float,万,2,%.2f,分钟成交额，配合 freq 字段决定 1/5/15/30/60 分钟，规范单位：万
kline_m1,close,收盘价,float,元,3,%.3f,收盘价
kline_m1,high,最高价,float,元,3,%.3f,最高价
kline_m1,low,最低价,float,元,3,%.3f,最低价
kline_m1,open,开盘价,float,元,3,%.3f,开盘价
kline_m1,time,交易时间,None,无,0,YYYY-MM-DD HH:MM:SS,交易时间
kline_m1,trade_time,交易时间,str,无,0,YYYY-MM-DD HH:MM:SS,交易时间
kline_m1,ts_code,股票代码,str,无,0,,股票代码
kline_m1,vol,成交量,int,无,0,%.0f,成交量
trade_calendar,exchange,交易所 SSE上交所 SZSE深交所,str,无,0,,交易所 SSE上交所 SZSE深交所
trade_calendar,cal_date,日历日期,str,无,0,YYYY-MM-DD,日历日期
trade_calendar,is_open,是否交易 0休市 1交易,str,无,0,,是否交易 0休市 1交易
trade_calendar,pretrade_date,上一个交易日,str,无,0,YYYY-MM-DD,上一个交易日
stock_basic,ts_code,TS代码,str,无,0,,TS代码
stock_basic,symbol,股票代码,str,无,0,,股票代码
stock_basic,name,股票名称,str,无,0,,股票名称
stock_basic,area,地域,str,无,0,,地域
stock_basic,industry,所属行业,str,无,0,,所属行业
stock_basic,fullname,股票全称,str,无,0,,股票全称
stock_basic,enname,英文全称,str,无,0,,英文全称
stock_basic,cnspell,拼音缩写,str,无,0,,拼音缩写
stock_basic,market,市场类型（主板/创业板/科创板/CDR）,str,无,0,,市场类型（主板/创业板/科创板/CDR）
stock_basic,exchange,交易所代码,str,无,0,,交易所代码
stock_basic,curr_type,交易货币,str,无,0,,交易货币
stock_basic,list_status,上市状态 L上市 D退市 P暂停上市,str,无,0,,上市状态 L上市 D退市 P暂停上市
stock_basic,list_date,上市日期,str,无,0,YYYY-MM-DD,上市日期
stock_basic,delist_date,退市日期,str,无,0,YYYY-MM-DD,退市日期
stock_basic,is_hs,是否沪深港通标的，N否 H沪股通 S深股通,str,无,0,,是否沪深港通标的，N否 H沪股通 S深股通
stock_basic,act_name,实控人名称,str,无,0,,实控人名称
stock_basic,act_ent_type,实控人企业性质,str,无,0,,实控人企业性质
daily_basic,ts_code,TS股票代码,str,无,0,,TS股票代码
daily_basic,trade_date,交易日期,str,无,0,YYYY-MM-DD,交易日期
daily_basic,close,当日收盘价,float,无,3,%.3f,当日收盘价
daily_basic,turnover_rate,换手率（%）,float,%,3,%.3f,换手率（%）
daily_basic,turnover_rate_f,换手率（自由流通股）,float,无,3,%.3f,换手率（自由流通股）
daily_basic,volume_ratio,量比,float,无,3,%.3f,量比
daily_basic,pe,市盈率（总市值/净利润， 亏损的PE为空）,float,无,3,%.3f,市盈率（总市值/净利润， 亏损的PE为空）
daily_basic,pe_ttm,市盈率（TTM，亏损的PE为空）,float,无,3,%.3f,市盈率（TTM，亏损的PE为空）
daily_basic,pb,市净率（总市值/净资产）,float,无,3,%.3f,市净率（总市值/净资产）
daily_basic,ps,市销率,float,无,3,%.3f,市销率
daily_basic,ps_ttm,市销率（TTM）,float,无,3,%.3f,市销率（TTM）
daily_basic,dv_ratio,股息率 （%）,float,%,3,%.3f,股息率 （%）
daily_basic,dv_ttm,股息率（TTM）（%）,float,%,3,%.3f,股息率（TTM）（%）
daily_basic,total_share,总股本 （万股）,float,万股,3,%.3f,总股本 （万股）
daily_basic,float_share,流通股本 （万股）,float,万股,3,%.3f,流通股本 （万股）
daily_basic,free_share,自由流通股本 （万）,float,无,3,%.3f,自由流通股本 （万）
daily_basic,total_mv,总市值 （万元）,float,万元,3,%.3f,总市值 （万元）
daily_basic,circ_mv,流通市值（万元）,float,万元,3,%.3f,流通市值（万元）
moneyflow_ind_dc,trade_date,交易日期,str,无,0,YYYY-MM-DD,交易日期
moneyflow_ind_dc,content_type,数据类型,str,无,0,,数据类型
moneyflow_ind_dc,ts_code,DC板块代码（行业、概念、地域）,str,无,0,,DC板块代码（行业、概念、地域）
moneyflow_ind_dc,name,板块名称,str,无,0,,板块名称
moneyflow_ind_dc,pct_change,板块涨跌幅（%）,float,%,2,%.2f,板块涨跌幅（%）
moneyflow_ind_dc,close,板块最新指数,float,无,2,%.2f,板块最新指数
moneyflow_ind_dc,net_amount,今日主力净流入 净额（元）,float,元,2,%.2f,今日主力净流入 净额（元）
moneyflow_ind_dc,net_amount_rate,今日主力净流入净占比%,float,%,2,%.2f,今日主力净流入净占比%
moneyflow_ind_dc,buy_elg_amount,今日超大单净流入 净额（元）,float,元,2,%.2f,今日超大单净流入 净额（元）
moneyflow_ind_dc,buy_elg_amount_rate,今日超大单净流入 净占比%,float,%,2,%.2f,今日超大单净流入 净占比%
moneyflow_ind_dc,buy_lg_amount,今日大单净流入 净额（元）,float,元,2,%.2f,今日大单净流入 净额（元）
moneyflow_ind_dc,buy_lg_amount_rate,今日大单净流入 净占比%,float,%,2,%.2f,今日大单净流入 净占比%
moneyflow_ind_dc,buy_md_amount,今日中单净流入 净额（元）,float,元,2,%.2f,今日中单净流入 净额（元）
moneyflow_ind_dc,buy_md_amount_rate,今日中单净流入 净占比%,float,%,2,%.2f,今日中单净流入 净占比%
moneyflow_ind_dc,buy_sm_amount,今日小单净流入 净额（元）,float,元,2,%.2f,今日小单净流入 净额（元）
moneyflow_ind_dc,buy_sm_amount_rate,今日小单净流入 净占比%,float,%,2,%.2f,今日小单净流入 净占比%
moneyflow_ind_dc,buy_sm_amount_stock,今日主力净流入最大股,str,无,0,,今日主力净流入最大股
moneyflow_ind_dc,rank,序号,int,无,0,,序号
realtime_quotes,name,股票名称,str,无,0,,股票名称
realtime_quotes,ts_code,股票代码,str,无,0,,股票代码
realtime_quotes,date,交易日期,str,无,0,,交易日期
realtime_quotes,time,交易时间,str,无,0,YYYY-MM-DD HH:MM:SS,交易时间
realtime_quotes,open,开盘价,float,元,3,%.3f,开盘价
realtime_quotes,pre_close,昨收价,float,元,3,%.3f,昨收价
realtime_quotes,price,现价,float,元,3,%.3f,现价
realtime_quotes,high,今日最高价,float,元,3,%.3f,今日最高价
realtime_quotes,low,今日最低价,float,元,3,%.3f,今日最低价
realtime_quotes,bid,竞买价，即“买一”报价（元）,float,元,0,,竞买价，即“买一”报价（元）
realtime_quotes,ask,竞卖价，即“卖一”报价（元）,float,元,0,,竞卖价，即“卖一”报价（元）
realtime_quotes,volume,成交量（src=sina时是股，src=dc时是手）,int,手,0,,成交量（src=sina时是股，src=dc时是手）
realtime_quotes,rt_amount,成交金额（元 CNY）,float,元,0,,成交金额（元 CNY）
realtime_quotes,b1_v,委买一（量，单位：手，下同）,float,手,0,,委买一（量，单位：手，下同）
realtime_quotes,b1_p,委买一（价，单位：元，下同）,float,元,0,,委买一（价，单位：元，下同）
realtime_quotes,b2_v,委买二（量）,float,手,0,,委买二（量）
realtime_quotes,b2_p,委买二（价）,float,元,0,,委买二（价）
realtime_quotes,b3_v,委买三（量）,float,手,0,,委买三（量）
realtime_quotes,b3_p,委买三（价）,float,元,0,,委买三（价）
realtime_quotes,b4_v,委买四（量）,float,手,0,,委买四（量）
realtime_quotes,b4_p,委买四（价）,float,元,0,,委买四（价）
realtime_quotes,b5_v,委买五（量）,float,手,0,,委买五（量）
realtime_quotes,b5_p,委买五（价）,float,元,0,,委买五（价）
realtime_quotes,a1_v,委卖一（量，单位：手，下同）,float,手,0,,委卖一（量，单位：手，下同）
realtime_quotes,a1_p,委卖一（价，单位：元，下同）,float,元,0,,委卖一（价，单位：元，下同）
realtime_quotes,a2_v,委卖二（量）,float,手,0,,委卖二（量）
realtime_quotes,a2_p,委卖二（价）,float,元,0,,委卖二（价）
realtime_quotes,a3_v,委卖三（量）,float,手,0,,委卖三（量）
realtime_quotes,a3_p,委卖三（价）,float,元,0,,委卖三（价）
realtime_quotes,a4_v,委卖四（量）,float,手,0,,委卖四（量）
realtime_quotes,a4_p,委卖四（价）,float,元,0,,委卖四（价）
realtime_quotes,a5_v,委卖五（量）,float,手,0,,委卖五（量）
realtime_quotes,a5_p,委卖五（价）,float,元,0,,委卖五（价）
tdx_index,ts_code,板块代码,str,无,0,,板块代码
tdx_index,trade_date,交易日期,str,无,0,YYYY-MM-DD,交易日期
tdx_index,name,板块名称,str,无,0,,板块名称
tdx_index,idx_type,板块类型,str,无,0,,板块类型
tdx_index,idx_count,成分个数,int,无,0,,成分个数
tdx_index,total_share,总股本(亿),float,无,0,,总股本(亿)
tdx_index,float_share,流通股(亿),float,无,0,,流通股(亿)
tdx_index,total_mv,总市值(亿),float,无,0,,总市值(亿)
tdx_index,float_mv,流通市值(亿),float,无,0,,流通市值(亿)
tdx_member,ts_code,板块代码,str,无,0,,板块代码
tdx_member,trade_date,交易日期,str,无,0,YYYY-MM-DD,交易日期
tdx_member,con_code,成分股票代码,str,无,0,,成分股票代码
tdx_member,con_name,成分股票名称,str,无,0,,成分股票名称
tdx_board_daily,trade_date,交易日期,str,无,0,YYYY-MM-DD,交易日期
tdx_board_daily,ts_code,板块代码,str,无,0,,板块代码（如 880728.TDX）
tdx_board_daily,open,开盘价,float,元,3,%.3f,开盘价
tdx_board_daily,high,最高价,float,元,3,%.3f,最高价
tdx_board_daily,low,最低价,float,元,3,%.3f,最低价
tdx_board_daily,close,收盘价,float,元,3,%.3f,收盘价
tdx_board_daily,pre_close,前收盘价,float,元,3,%.3f,前收盘价
tdx_board_daily,change,涨跌额,float,元,3,%.3f,涨跌额
tdx_board_daily,pct_chg,涨跌幅（%）,float,%,2,%.2f,涨跌幅（%）
tdx_board_daily,vol,成交量（手）,float,手,0,%.0f,成交量（手）
tdx_board_daily,amount,成交额（元）,float,元,2,%.2f,成交额（元）
adj_factor_daily,ts_code,股票代码,str,无,0,,股票代码
adj_factor_daily,trade_date,交易日期,str,无,0,YYYY-MM-DD,交易日期
adj_factor_daily,adj_factor,复权因子,float,无,6,%.6f,复权因子
news_major,title,标题,str,无,0,,标题
news_major,content,内容 (默认不显示，需要在fields里指定),str,无,0,,内容 (默认不显示，需要在fields里指定)
news_major,pub_time,发布时间,str,无,0,YYYY-MM-DD HH:MM:SS,发布时间
news_major,src,来源网站,str,无,0,,来源网站
fina_indicator_quarterly,ts_code,TS代码,str,无,0,,TS代码
fina_indicator_quarterly,ann_date,公告日期,str,无,0,YYYY-MM-DD,公告日期
fina_indicator_quarterly,end_date,报告期,str,无,0,YYYY-MM-DD,报告期
fina_indicator_quarterly,eps,基本每股收益,float,无,2,%.2f,基本每股收益
fina_indicator_quarterly,dt_eps,稀释每股收益,float,无,2,%.2f,稀释每股收益
fina_indicator_quarterly,total_revenue_ps,每股营业总收入,float,无,2,%.2f,每股营业总收入
fina_indicator_quarterly,revenue_ps,每股营业收入,float,无,2,%.2f,每股营业收入
fina_indicator_quarterly,capital_rese_ps,每股资本公积,float,无,2,%.2f,每股资本公积
fina_indicator_quarterly,surplus_rese_ps,每股盈余公积,float,无,2,%.2f,每股盈余公积
fina_indicator_quarterly,undist_profit_ps,每股未分配利润,float,无,2,%.2f,每股未分配利润
fina_indicator_quarterly,extra_item,非经常性损益,float,无,2,%.2f,非经常性损益
fina_indicator_quarterly,profit_dedt,扣除非经常性损益后的净利润（扣非净利润）,float,无,2,%.2f,扣除非经常性损益后的净利润（扣非净利润）
fina_indicator_quarterly,gross_margin,毛利,float,无,2,%.2f,毛利
fina_indicator_quarterly,current_ratio,流动比率,float,%,2,%.2f,流动比率
fina_indicator_quarterly,quick_ratio,速动比率,float,%,2,%.2f,速动比率
fina_indicator_quarterly,cash_ratio,保守速动比率,float,%,2,%.2f,保守速动比率
fina_indicator_quarterly,invturn_days,存货周转天数,float,无,2,%.2f,存货周转天数
fina_indicator_quarterly,arturn_days,应收账款周转天数,float,无,2,%.2f,应收账款周转天数
fina_indicator_quarterly,inv_turn,存货周转率,float,%,2,%.2f,存货周转率
fina_indicator_quarterly,ar_turn,应收账款周转率,float,%,2,%.2f,应收账款周转率
fina_indicator_quarterly,ca_turn,流动资产周转率,float,%,2,%.2f,流动资产周转率
fina_indicator_quarterly,fa_turn,固定资产周转率,float,%,2,%.2f,固定资产周转率
fina_indicator_quarterly,assets_turn,总资产周转率,float,%,2,%.2f,总资产周转率
fina_indicator_quarterly,op_income,经营活动净收益,float,无,2,%.2f,经营活动净收益
fina_indicator_quarterly,valuechange_income,价值变动净收益,float,无,2,%.2f,价值变动净收益
fina_indicator_quarterly,interst_income,利息费用,float,无,2,%.2f,利息费用
fina_indicator_quarterly,daa,折旧与摊销,float,无,2,%.2f,折旧与摊销
fina_indicator_quarterly,ebit,息税前利润,float,无,2,%.2f,息税前利润
fina_indicator_quarterly,ebitda,息税折旧摊销前利润,float,无,2,%.2f,息税折旧摊销前利润
fina_indicator_quarterly,fcff,企业自由现金流量,float,无,2,%.2f,企业自由现金流量
fina_indicator_quarterly,fcfe,股权自由现金流量,float,无,2,%.2f,股权自由现金流量
fina_indicator_quarterly,current_exint,无息流动负债,float,无,2,%.2f,无息流动负债
fina_indicator_quarterly,noncurrent_exint,无息非流动负债,float,无,2,%.2f,无息非流动负债
fina_indicator_quarterly,interestdebt,带息债务,float,无,2,%.2f,带息债务
fina_indicator_quarterly,netdebt,净债务,float,无,2,%.2f,净债务
fina_indicator_quarterly,tangible_asset,有形资产,float,无,2,%.2f,有形资产
fina_indicator_quarterly,working_capital,营运资金,float,无,2,%.2f,营运资金
fina_indicator_quarterly,networking_capital,营运流动资本,float,无,2,%.2f,营运流动资本
fina_indicator_quarterly,invest_capital,全部投入资本,float,无,2,%.2f,全部投入资本
fina_indicator_quarterly,retained_earnings,留存收益,float,无,2,%.2f,留存收益
fina_indicator_quarterly,diluted2_eps,期末摊薄每股收益,float,无,2,%.2f,期末摊薄每股收益
fina_indicator_quarterly,bps,每股净资产,float,无,2,%.2f,每股净资产
fina_indicator_quarterly,ocfps,每股经营活动产生的现金流量净额,float,无,2,%.2f,每股经营活动产生的现金流量净额
fina_indicator_quarterly,retainedps,每股留存收益,float,无,2,%.2f,每股留存收益
fina_indicator_quarterly,cfps,每股现金流量净额,float,无,2,%.2f,每股现金流量净额
fina_indicator_quarterly,ebit_ps,每股息税前利润,float,无,2,%.2f,每股息税前利润
fina_indicator_quarterly,fcff_ps,每股企业自由现金流量,float,无,2,%.2f,每股企业自由现金流量
fina_indicator_quarterly,fcfe_ps,每股股东自由现金流量,float,无,2,%.2f,每股股东自由现金流量
fina_indicator_quarterly,netprofit_margin,销售净利率,float,%,2,%.2f,销售净利率
fina_indicator_quarterly,grossprofit_margin,销售毛利率,float,%,2,%.2f,销售毛利率
fina_indicator_quarterly,cogs_of_sales,销售成本率,float,%,2,%.2f,销售成本率
fina_indicator_quarterly,expense_of_sales,销售期间费用率,float,%,2,%.2f,销售期间费用率
fina_indicator_quarterly,profit_to_gr,净利润/营业总收入,float,无,2,%.2f,净利润/营业总收入
fina_indicator_quarterly,saleexp_to_gr,销售费用/营业总收入,float,无,2,%.2f,销售费用/营业总收入
fina_indicator_quarterly,adminexp_of_gr,管理费用/营业总收入,float,无,2,%.2f,管理费用/营业总收入
fina_indicator_quarterly,finaexp_of_gr,财务费用/营业总收入,float,无,2,%.2f,财务费用/营业总收入
fina_indicator_quarterly,impai_ttm,资产减值损失/营业总收入,float,无,2,%.2f,资产减值损失/营业总收入
fina_indicator_quarterly,gc_of_gr,营业总成本/营业总收入,float,无,2,%.2f,营业总成本/营业总收入
fina_indicator_quarterly,op_of_gr,营业利润/营业总收入,float,无,2,%.2f,营业利润/营业总收入
fina_indicator_quarterly,ebit_of_gr,息税前利润/营业总收入,float,无,2,%.2f,息税前利润/营业总收入
fina_indicator_quarterly,roe,净资产收益率,float,%,2,%.2f,净资产收益率
fina_indicator_quarterly,roe_waa,加权平均净资产收益率,float,%,2,%.2f,加权平均净资产收益率
fina_indicator_quarterly,roe_dt,净资产收益率(扣除非经常损益),float,%,2,%.2f,净资产收益率(扣除非经常损益)
fina_indicator_quarterly,roa,总资产报酬率,float,%,2,%.2f,总资产报酬率
fina_indicator_quarterly,npta,总资产净利润,float,无,2,%.2f,总资产净利润
fina_indicator_quarterly,roic,投入资本回报率,float,%,2,%.2f,投入资本回报率
fina_indicator_quarterly,roe_yearly,年化净资产收益率,float,%,2,%.2f,年化净资产收益率
fina_indicator_quarterly,roa2_yearly,年化总资产报酬率,float,%,2,%.2f,年化总资产报酬率
fina_indicator_quarterly,roe_avg,平均净资产收益率(增发条件),float,%,2,%.2f,平均净资产收益率(增发条件)
fina_indicator_quarterly,opincome_of_ebt,经营活动净收益/利润总额,float,无,2,%.2f,经营活动净收益/利润总额
fina_indicator_quarterly,investincome_of_ebt,价值变动净收益/利润总额,float,无,2,%.2f,价值变动净收益/利润总额
fina_indicator_quarterly,n_op_profit_of_ebt,营业外收支净额/利润总额,float,无,2,%.2f,营业外收支净额/利润总额
fina_indicator_quarterly,tax_to_ebt,所得税/利润总额,float,无,2,%.2f,所得税/利润总额
fina_indicator_quarterly,dtprofit_to_profit,扣除非经常损益后的净利润/净利润,float,无,2,%.2f,扣除非经常损益后的净利润/净利润
fina_indicator_quarterly,salescash_to_or,销售商品提供劳务收到的现金/营业收入,float,无,2,%.2f,销售商品提供劳务收到的现金/营业收入
fina_indicator_quarterly,ocf_to_or,经营活动产生的现金流量净额/营业收入,float,无,2,%.2f,经营活动产生的现金流量净额/营业收入
fina_indicator_quarterly,ocf_to_opincome,经营活动产生的现金流量净额/经营活动净收益,float,无,2,%.2f,经营活动产生的现金流量净额/经营活动净收益
fina_indicator_quarterly,capitalized_to_da,资本支出/折旧和摊销,float,无,2,%.2f,资本支出/折旧和摊销
fina_indicator_quarterly,debt_to_assets,资产负债率,float,%,2,%.2f,资产负债率
fina_indicator_quarterly,assets_to_eqt,权益乘数,float,无,2,%.2f,权益乘数
fina_indicator_quarterly,dp_assets_to_eqt,权益乘数(杜邦分析),float,无,2,%.2f,权益乘数(杜邦分析)
fina_indicator_quarterly,ca_to_assets,流动资产/总资产,float,无,2,%.2f,流动资产/总资产
fina_indicator_quarterly,nca_to_assets,非流动资产/总资产,float,无,2,%.2f,非流动资产/总资产
fina_indicator_quarterly,tbassets_to_totalassets,有形资产/总资产,float,无,2,%.2f,有形资产/总资产
fina_indicator_quarterly,int_to_talcap,带息债务/全部投入资本,float,无,2,%.2f,带息债务/全部投入资本
fina_indicator_quarterly,eqt_to_talcapital,归属于母公司的股东权益/全部投入资本,float,无,2,%.2f,归属于母公司的股东权益/全部投入资本
fina_indicator_quarterly,currentdebt_to_debt,流动负债/负债合计,float,无,2,%.2f,流动负债/负债合计
fina_indicator_quarterly,longdeb_to_debt,非流动负债/负债合计,float,无,2,%.2f,非流动负债/负债合计
fina_indicator_quarterly,ocf_to_shortdebt,经营活动产生的现金流量净额/流动负债,float,无,2,%.2f,经营活动产生的现金流量净额/流动负债
fina_indicator_quarterly,debt_to_eqt,产权比率,float,%,2,%.2f,产权比率
fina_indicator_quarterly,eqt_to_debt,归属于母公司的股东权益/负债合计,float,无,2,%.2f,归属于母公司的股东权益/负债合计
fina_indicator_quarterly,eqt_to_interestdebt,归属于母公司的股东权益/带息债务,float,无,2,%.2f,归属于母公司的股东权益/带息债务
fina_indicator_quarterly,tangibleasset_to_debt,有形资产/负债合计,float,无,2,%.2f,有形资产/负债合计
fina_indicator_quarterly,tangasset_to_intdebt,有形资产/带息债务,float,无,2,%.2f,有形资产/带息债务
