数据集,规范字段名,来源系统,来源接口,来源字段名,来源数据类型,来源单位,转换系数,来源字段说明,备注
kline_daily,amount,tushare_daily,,amount,float,千元,0.1,,原始为千元
kline_daily,change,tushare_daily,,change,float,元,1,,原始为元
kline_daily,close,tushare_daily,,close,float,元,1,,原始为元
kline_daily,high,tushare_daily,,high,float,元,1,,原始为元
kline_daily,low,tushare_daily,,low,float,元,1,,原始为元
kline_daily,open,tushare_daily,,open,float,元,1,,原始为元
kline_daily,pct_chg,tushare_daily,,pct_chg,float,百分比,1,,原始为百分比
kline_daily,pre_close,tushare_daily,,pre_close,float,元,1,,原始为元
kline_daily,trade_date,tushare_daily,,trade_date,str,无,1,,日期字符串
kline_daily,ts_code,tushare_daily,,ts_code,str,无,1,,TS代码
kline_daily,vol,tushare_daily,,vol,float,手,1,,原始为手
kline_m1,amount_m,tushare_stk_mins,stk_mins,amount,float,元,1,成交金额,
kline_m1,close,tushare_stk_mins,stk_mins,close,float,元,1,收盘价,
kline_m1,high,tushare_stk_mins,stk_mins,high,float,元,1,最高价,
kline_m1,low,tushare_stk_mins,stk_mins,low,float,元,1,最低价,
kline_m1,open,tushare_stk_mins,stk_mins,open,float,元,1,开盘价,
kline_m1,trade_time,tushare_stk_mins,stk_mins,trade_time,str,无,1,交易时间,
kline_m1,ts_code,tushare_stk_mins,stk_mins,ts_code,str,无,1,股票代码,
kline_m1,vol,tushare_stk_mins,stk_mins,vol,int,手,1,成交量,
trade_calendar,exchange,tushare_trade_cal,trade_cal,exchange,str,无,1,交易所 SSE上交所 SZSE深交所,交易日历
trade_calendar,cal_date,tushare_trade_cal,trade_cal,cal_date,str,无,1,日历日期,交易日历
trade_calendar,is_open,tushare_trade_cal,trade_cal,is_open,str,无,1,是否交易 0休市 1交易,交易日历
trade_calendar,pretrade_date,tushare_trade_cal,trade_cal,pretrade_date,str,无,1,上一个交易日,交易日历
stock_basic,ts_code,tushare_stock_basic,stock_basic,ts_code,str,无,1,TS代码,股票基础信息
stock_basic,symbol,tushare_stock_basic,stock_basic,symbol,str,无,1,股票代码,股票基础信息
stock_basic,name,tushare_stock_basic,stock_basic,name,str,无,1,股票名称,股票基础信息
stock_basic,area,tushare_stock_basic,stock_basic,area,str,无,1,地域,股票基础信息
stock_basic,industry,tushare_stock_basic,stock_basic,industry,str,无,1,所属行业,股票基础信息
stock_basic,fullname,tushare_stock_basic,stock_basic,fullname,str,无,1,股票全称,股票基础信息
stock_basic,enname,tushare_stock_basic,stock_basic,enname,str,无,1,英文全称,股票基础信息
stock_basic,cnspell,tushare_stock_basic,stock_basic,cnspell,str,无,1,拼音缩写,股票基础信息
stock_basic,market,tushare_stock_basic,stock_basic,market,str,无,1,市场类型（主板/创业板/科创板/CDR）,股票基础信息
stock_basic,exchange,tushare_stock_basic,stock_basic,exchange,str,无,1,交易所代码,股票基础信息
stock_basic,curr_type,tushare_stock_basic,stock_basic,curr_type,str,无,1,交易货币,股票基础信息
stock_basic,list_status,tushare_stock_basic,stock_basic,list_status,str,无,1,上市状态 L上市 D退市 P暂停上市,股票基础信息
stock_basic,list_date,tushare_stock_basic,stock_basic,list_date,str,无,1,上市日期,股票基础信息
stock_basic,delist_date,tushare_stock_basic,stock_basic,delist_date,str,无,1,退市日期,股票基础信息
stock_basic,is_hs,tushare_stock_basic,stock_basic,is_hs,str,无,1,是否沪深港通标的，N否 H沪股通 S深股通,股票基础信息
stock_basic,act_name,tushare_stock_basic,stock_basic,act_name,str,无,1,实控人名称,股票基础信息
stock_basic,act_ent_type,tushare_stock_basic,stock_basic,act_ent_type,str,无,1,实控人企业性质,股票基础信息
daily_basic,ts_code,tushare_daily_basic,daily_basic,ts_code,str,无,1,TS股票代码,TS股票代码
daily_basic,trade_date,tushare_daily_basic,daily_basic,trade_date,str,无,1,交易日期,交易日期
daily_basic,close,tushare_daily_basic,daily_basic,close,float,无,1,当日收盘价,当日收盘价
daily_basic,turnover_rate,tushare_daily_basic,daily_basic,turnover_rate,float,%,1,换手率（%）,换手率（%）
daily_basic,turnover_rate_f,tushare_daily_basic,daily_basic,turnover_rate_f,float,无,1,换手率（自由流通股）,换手率（自由流通股）
daily_basic,volume_ratio,tushare_daily_basic,daily_basic,volume_ratio,float,无,1,量比,量比
daily_basic,pe,tushare_daily_basic,daily_basic,pe,float,无,1,市盈率（总市值/净利润， 亏损的PE为空）,市盈率（总市值/净利润， 亏损的PE为空）
daily_basic,pe_ttm,tushare_daily_basic,daily_basic,pe_ttm,float,无,1,市盈率（TTM，亏损的PE为空）,市盈率（TTM，亏损的PE为空）
daily_basic,pb,tushare_daily_basic,daily_basic,pb,float,无,1,市净率（总市值/净资产）,市净率（总市值/净资产）
daily_basic,ps,tushare_daily_basic,daily_basic,ps,float,%,1,市销率,市销率
daily_basic,ps_ttm,tushare_daily_basic,daily_basic,ps_ttm,float,无,1,市销率（TTM）,市销率（TTM）
daily_basic,dv_ratio,tushare_daily_basic,daily_basic,dv_ratio,float,%,1,股息率 （%）,股息率 （%）
daily_basic,dv_ttm,tushare_daily_basic,daily_basic,dv_ttm,float,%,1,股息率（TTM）（%）,股息率（TTM）（%）
daily_basic,total_share,tushare_daily_basic,daily_basic,total_share,float,万股,1,总股本 （万股）,总股本 （万股）
daily_basic,float_share,tushare_daily_basic,daily_basic,float_share,float,万股,1,流通股本 （万股）,流通股本 （万股）
daily_basic,free_share,tushare_daily_basic,daily_basic,free_share,float,万股,1,自由流通股本 （万）,自由流通股本 （万）
daily_basic,total_mv,tushare_daily_basic,daily_basic,total_mv,float,万元,1,总市值 （万元）,总市值 （万元）
daily_basic,circ_mv,tushare_daily_basic,daily_basic,circ_mv,float,万元,1,流通市值（万元）,流通市值（万元）
moneyflow_ind_dc,trade_date,tushare_moneyflow_ind_dc,moneyflow_ind_dc,trade_date,str,无,1,交易日期,行业资金流向日度
moneyflow_ind_dc,content_type,tushare_moneyflow_ind_dc,moneyflow_ind_dc,content_type,str,无,1,数据类型,行业资金流向日度
moneyflow_ind_dc,ts_code,tushare_moneyflow_ind_dc,moneyflow_ind_dc,ts_code,str,无,1,DC板块代码（行业、概念、地域）,行业资金流向日度
moneyflow_ind_dc,name,tushare_moneyflow_ind_dc,moneyflow_ind_dc,name,str,无,1,板块名称,行业资金流向日度
moneyflow_ind_dc,pct_change,tushare_moneyflow_ind_dc,moneyflow_ind_dc,pct_change,float,%,1,板块涨跌幅（%）,行业资金流向日度
moneyflow_ind_dc,close,tushare_moneyflow_ind_dc,moneyflow_ind_dc,close,float,无,1,板块最新指数,行业资金流向日度
moneyflow_ind_dc,net_amount,tushare_moneyflow_ind_dc,moneyflow_ind_dc,net_amount,float,元,1,今日主力净流入 净额（元）,行业资金流向日度
moneyflow_ind_dc,net_amount_rate,tushare_moneyflow_ind_dc,moneyflow_ind_dc,net_amount_rate,float,%,1,今日主力净流入净占比%,行业资金流向日度
moneyflow_ind_dc,buy_elg_amount,tushare_moneyflow_ind_dc,moneyflow_ind_dc,buy_elg_amount,float,元,1,今日超大单净流入 净额（元）,行业资金流向日度
moneyflow_ind_dc,buy_elg_amount_rate,tushare_moneyflow_ind_dc,moneyflow_ind_dc,buy_elg_amount_rate,float,%,1,今日超大单净流入 净占比%,行业资金流向日度
moneyflow_ind_dc,buy_lg_amount,tushare_moneyflow_ind_dc,moneyflow_ind_dc,buy_lg_amount,float,元,1,今日大单净流入 净额（元）,行业资金流向日度
moneyflow_ind_dc,buy_lg_amount_rate,tushare_moneyflow_ind_dc,moneyflow_ind_dc,buy_lg_amount_rate,float,%,1,今日大单净流入 净占比%,行业资金流向日度
moneyflow_ind_dc,buy_md_amount,tushare_moneyflow_ind_dc,moneyflow_ind_dc,buy_md_amount,float,元,1,今日中单净流入 净额（元）,行业资金流向日度
moneyflow_ind_dc,buy_md_amount_rate,tushare_moneyflow_ind_dc,moneyflow_ind_dc,buy_md_amount_rate,float,%,1,今日中单净流入 净占比%,行业资金流向日度
moneyflow_ind_dc,buy_sm_amount,tushare_moneyflow_ind_dc,moneyflow_ind_dc,buy_sm_amount,float,元,1,今日小单净流入 净额（元）,行业资金流向日度
moneyflow_ind_dc,buy_sm_amount_rate,tushare_moneyflow_ind_dc,moneyflow_ind_dc,buy_sm_amount_rate,float,%,1,今日小单净流入 净占比%,行业资金流向日度
moneyflow_ind_dc,buy_sm_amount_stock,tushare_moneyflow_ind_dc,moneyflow_ind_dc,buy_sm_amount_stock,str,无,1,今日主力净流入最大股,行业资金流向日度
moneyflow_ind_dc,rank,tushare_moneyflow_ind_dc,moneyflow_ind_dc,rank,int,无,1,序号,行业资金流向日度
realtime_quotes,name,tushare_realtime_quote,realtime_quote,name,str,无,1,股票名称,实时行情
realtime_quotes,ts_code,tushare_realtime_quote,realtime_quote,ts_code,str,无,1,股票代码,实时行情
realtime_quotes,date,tushare_realtime_quote,realtime_quote,date,str,无,1,交易日期,实时行情
realtime_quotes,time,tushare_realtime_quote,realtime_quote,time,str,无,1,交易时间,实时行情
realtime_quotes,open,tushare_realtime_quote,realtime_quote,open,float,元,1,开盘价,实时行情
realtime_quotes,pre_close,tushare_realtime_quote,realtime_quote,pre_close,float,元,1,昨收价,实时行情
realtime_quotes,price,tushare_realtime_quote,realtime_quote,price,float,元,1,现价,实时行情
realtime_quotes,high,tushare_realtime_quote,realtime_quote,high,float,元,1,今日最高价,实时行情
realtime_quotes,low,tushare_realtime_quote,realtime_quote,low,float,元,1,今日最低价,实时行情
realtime_quotes,bid,tushare_realtime_quote,realtime_quote,bid,float,元,1,竞买价，即“买一”报价（元）,实时行情
realtime_quotes,ask,tushare_realtime_quote,realtime_quote,ask,float,元,1,竞卖价，即“卖一”报价（元）,实时行情
realtime_quotes,volume,tushare_realtime_quote,realtime_quote,volume,int,手,1,成交量（src=sina时是股，src=dc时是手）,实时行情
realtime_quotes,rt_amount,tushare_realtime_quote,realtime_quote,amount,float,元,1,成交金额（元 CNY）,实时行情
realtime_quotes,b1_v,tushare_realtime_quote,realtime_quote,b1_v,float,手,1,委买一（量，单位：手，下同）,实时行情
realtime_quotes,b1_p,tushare_realtime_quote,realtime_quote,b1_p,float,元,1,委买一（价，单位：元，下同）,实时行情
realtime_quotes,b2_v,tushare_realtime_quote,realtime_quote,b2_v,float,手,1,委买二（量）,实时行情
realtime_quotes,b2_p,tushare_realtime_quote,realtime_quote,b2_p,float,元,1,委买二（价）,实时行情
realtime_quotes,b3_v,tushare_realtime_quote,realtime_quote,b3_v,float,手,1,委买三（量）,实时行情
realtime_quotes,b3_p,tushare_realtime_quote,realtime_quote,b3_p,float,元,1,委买三（价）,实时行情
realtime_quotes,b4_v,tushare_realtime_quote,realtime_quote,b4_v,float,手,1,委买四（量）,实时行情
realtime_quotes,b4_p,tushare_realtime_quote,realtime_quote,b4_p,float,元,1,委买四（价）,实时行情
realtime_quotes,b5_v,tushare_realtime_quote,realtime_quote,b5_v,float,手,1,委买五（量）,实时行情
realtime_quotes,b5_p,tushare_realtime_quote,realtime_quote,b5_p,float,元,1,委买五（价）,实时行情
realtime_quotes,a1_v,tushare_realtime_quote,realtime_quote,a1_v,float,手,1,委卖一（量，单位：手，下同）,实时行情
realtime_quotes,a1_p,tushare_realtime_quote,realtime_quote,a1_p,float,元,1,委卖一（价，单位：元，下同）,实时行情
realtime_quotes,a2_v,tushare_realtime_quote,realtime_quote,a2_v,float,手,1,委卖二（量）,实时行情
realtime_quotes,a2_p,tushare_realtime_quote,realtime_quote,a2_p,float,元,1,委卖二（价）,实时行情
realtime_quotes,a3_v,tushare_realtime_quote,realtime_quote,a3_v,float,手,1,委卖三（量）,实时行情
realtime_quotes,a3_p,tushare_realtime_quote,realtime_quote,a3_p,float,元,1,委卖三（价）,实时行情
realtime_quotes,a4_v,tushare_realtime_quote,realtime_quote,a4_v,float,手,1,委卖四（量）,实时行情
realtime_quotes,a4_p,tushare_realtime_quote,realtime_quote,a4_p,float,元,1,委卖四（价）,实时行情
realtime_quotes,a5_v,tushare_realtime_quote,realtime_quote,a5_v,float,手,1,委卖五（量）,实时行情
realtime_quotes,a5_p,tushare_realtime_quote,realtime_quote,a5_p,float,元,1,委卖五（价）,实时行情
tdx_index,ts_code,tushare_tdx_index,tdx_index,ts_code,str,无,1,板块代码,板块指数
tdx_index,trade_date,tushare_tdx_index,tdx_index,trade_date,str,无,1,交易日期,板块指数
tdx_index,name,tushare_tdx_index,tdx_index,name,str,无,1,板块名称,板块指数
tdx_index,idx_type,tushare_tdx_index,tdx_index,idx_type,str,无,1,板块类型,板块指数
tdx_index,idx_count,tushare_tdx_index,tdx_index,idx_count,int,无,1,成分个数,板块指数
tdx_index,total_share,tushare_tdx_index,tdx_index,total_share,float,亿元,1,总股本(亿),板块指数
tdx_index,float_share,tushare_tdx_index,tdx_index,float_share,float,亿元,1,流通股(亿),板块指数
tdx_index,total_mv,tushare_tdx_index,tdx_index,total_mv,float,亿元,1,总市值(亿),板块指数
tdx_index,float_mv,tushare_tdx_index,tdx_index,float_mv,float,亿元,1,流通市值(亿),板块指数
tdx_member,ts_code,tushare_tdx_member,tdx_member,ts_code,str,无,1,板块代码,板块成份股
tdx_member,trade_date,tushare_tdx_member,tdx_member,trade_date,str,无,1,交易日期,板块成份股
tdx_member,con_code,tushare_tdx_member,tdx_member,con_code,str,无,1,成分股票代码,板块成份股
tdx_member,con_name,tushare_tdx_member,tdx_member,con_name,str,无,1,成分股票名称,板块成份股
tdx_index,ts_code,db_aistock,market.tdx_board_index,ts_code,str,无,1.0,market.tdx_board_index 字段 ts_code（板块代码，如 880728.TDX）,通达信板块基础信息（本地表）
tdx_index,trade_date,db_aistock,market.tdx_board_index,trade_date,str,无,1.0,market.tdx_board_index 字段 trade_date（数据日期 YYYY-MM-DD）,通达信板块基础信息（本地表）
tdx_index,name,db_aistock,market.tdx_board_index,name,str,无,1.0,market.tdx_board_index 字段 name（板块名称）,通达信板块基础信息（本地表）
tdx_index,idx_type,db_aistock,market.tdx_board_index,idx_type,str,无,1.0,market.tdx_board_index 字段 idx_type（板块类型：概念/行业/风格/地域等）,通达信板块基础信息（本地表）
tdx_index,idx_count,db_aistock,market.tdx_board_index,idx_count,int,无,1.0,market.tdx_board_index 字段 idx_count（成分数量）,通达信板块基础信息（本地表）
tdx_member,ts_code,db_aistock,market.tdx_board_member,ts_code,str,无,1.0,market.tdx_board_member 字段 ts_code（板块代码）,通达信板块成分（本地表）
tdx_member,trade_date,db_aistock,market.tdx_board_member,trade_date,str,无,1.0,market.tdx_board_member 字段 trade_date（数据日期 YYYY-MM-DD）,通达信板块成分（本地表）
tdx_member,con_code,db_aistock,market.tdx_board_member,con_code,str,无,1.0,market.tdx_board_member 字段 con_code（成分证券 TS 代码）,通达信板块成分（本地表）
tdx_member,con_name,db_aistock,market.tdx_board_member,con_name,str,无,1.0,market.tdx_board_member 字段 con_name（成分证券名称）,通达信板块成分（本地表）
tdx_board_daily,trade_date,db_aistock,market.tdx_board_daily,trade_date,str,无,1.0,market.tdx_board_daily 字段 trade_date（交易日 YYYY-MM-DD）,通达信板块行情（本地表）
tdx_board_daily,ts_code,db_aistock,market.tdx_board_daily,ts_code,str,无,1.0,market.tdx_board_daily 字段 ts_code（板块代码）,通达信板块行情（本地表）
tdx_board_daily,open,db_aistock,market.tdx_board_daily,open,float,元,1.0,market.tdx_board_daily 字段 open（开盘价，单位：元）,通达信板块行情（本地表）
tdx_board_daily,high,db_aistock,market.tdx_board_daily,high,float,元,1.0,market.tdx_board_daily 字段 high（最高价，单位：元）,通达信板块行情（本地表）
tdx_board_daily,low,db_aistock,market.tdx_board_daily,low,float,元,1.0,market.tdx_board_daily 字段 low（最低价，单位：元）,通达信板块行情（本地表）
tdx_board_daily,close,db_aistock,market.tdx_board_daily,close,float,元,1.0,market.tdx_board_daily 字段 close（收盘价，单位：元）,通达信板块行情（本地表）
tdx_board_daily,pre_close,db_aistock,market.tdx_board_daily,pre_close,float,元,1.0,market.tdx_board_daily 字段 pre_close（前收盘价，单位：元）,通达信板块行情（本地表）
tdx_board_daily,change,db_aistock,market.tdx_board_daily,change,float,元,1.0,market.tdx_board_daily 字段 change（涨跌额，单位：元）,通达信板块行情（本地表）
tdx_board_daily,pct_chg,db_aistock,market.tdx_board_daily,pct_chg,float,%,1.0,market.tdx_board_daily 字段 pct_chg（涨跌幅，单位：%）,通达信板块行情（本地表）
tdx_board_daily,vol,db_aistock,market.tdx_board_daily,vol,float,手,1.0,market.tdx_board_daily 字段 vol（成交量，单位：手）,通达信板块行情（本地表）
tdx_board_daily,amount,db_aistock,market.tdx_board_daily,amount,float,元,1.0,market.tdx_board_daily 字段 amount（成交额，单位：元）,通达信板块行情（本地表）
adj_factor_daily,ts_code,tushare_adj_factor,adj_factor,ts_code,str,无,1,股票代码,复权因子日度
adj_factor_daily,trade_date,tushare_adj_factor,adj_factor,trade_date,str,无,1,交易日期,复权因子日度
adj_factor_daily,adj_factor,tushare_adj_factor,adj_factor,adj_factor,float,无,1,复权因子,复权因子日度
news_major,title,tushare_major_news,major_news,title,str,无,1,标题,重大新闻
news_major,content,tushare_major_news,major_news,content,str,无,1,内容 (默认不显示，需要在fields里指定),重大新闻
news_major,pub_time,tushare_major_news,major_news,pub_time,str,无,1,发布时间,重大新闻
news_major,src,tushare_major_news,major_news,src,str,无,1,来源网站,重大新闻
fina_indicator_quarterly,ts_code,tushare_fina_indicator,fina_indicator,ts_code,str,无,1,TS代码,财务指标季度
fina_indicator_quarterly,ann_date,tushare_fina_indicator,fina_indicator,ann_date,str,无,1,公告日期,财务指标季度
fina_indicator_quarterly,end_date,tushare_fina_indicator,fina_indicator,end_date,str,无,1,报告期,财务指标季度
fina_indicator_quarterly,eps,tushare_fina_indicator,fina_indicator,eps,float,无,1,基本每股收益,财务指标季度
fina_indicator_quarterly,dt_eps,tushare_fina_indicator,fina_indicator,dt_eps,float,无,1,稀释每股收益,财务指标季度
fina_indicator_quarterly,total_revenue_ps,tushare_fina_indicator,fina_indicator,total_revenue_ps,float,无,1,每股营业总收入,财务指标季度
fina_indicator_quarterly,revenue_ps,tushare_fina_indicator,fina_indicator,revenue_ps,float,无,1,每股营业收入,财务指标季度
fina_indicator_quarterly,capital_rese_ps,tushare_fina_indicator,fina_indicator,capital_rese_ps,float,无,1,每股资本公积,财务指标季度
fina_indicator_quarterly,surplus_rese_ps,tushare_fina_indicator,fina_indicator,surplus_rese_ps,float,无,1,每股盈余公积,财务指标季度
fina_indicator_quarterly,undist_profit_ps,tushare_fina_indicator,fina_indicator,undist_profit_ps,float,无,1,每股未分配利润,财务指标季度
fina_indicator_quarterly,extra_item,tushare_fina_indicator,fina_indicator,extra_item,float,无,1,非经常性损益,财务指标季度
fina_indicator_quarterly,profit_dedt,tushare_fina_indicator,fina_indicator,profit_dedt,float,无,1,扣除非经常性损益后的净利润（扣非净利润）,财务指标季度
fina_indicator_quarterly,gross_margin,tushare_fina_indicator,fina_indicator,gross_margin,float,无,1,毛利,财务指标季度
fina_indicator_quarterly,current_ratio,tushare_fina_indicator,fina_indicator,current_ratio,float,%,1,流动比率,财务指标季度
fina_indicator_quarterly,quick_ratio,tushare_fina_indicator,fina_indicator,quick_ratio,float,%,1,速动比率,财务指标季度
fina_indicator_quarterly,cash_ratio,tushare_fina_indicator,fina_indicator,cash_ratio,float,%,1,保守速动比率,财务指标季度
fina_indicator_quarterly,invturn_days,tushare_fina_indicator,fina_indicator,invturn_days,float,无,1,存货周转天数,财务指标季度
fina_indicator_quarterly,arturn_days,tushare_fina_indicator,fina_indicator,arturn_days,float,无,1,应收账款周转天数,财务指标季度
fina_indicator_quarterly,inv_turn,tushare_fina_indicator,fina_indicator,inv_turn,float,%,1,存货周转率,财务指标季度
fina_indicator_quarterly,ar_turn,tushare_fina_indicator,fina_indicator,ar_turn,float,%,1,应收账款周转率,财务指标季度
fina_indicator_quarterly,ca_turn,tushare_fina_indicator,fina_indicator,ca_turn,float,%,1,流动资产周转率,财务指标季度
fina_indicator_quarterly,fa_turn,tushare_fina_indicator,fina_indicator,fa_turn,float,%,1,固定资产周转率,财务指标季度
fina_indicator_quarterly,assets_turn,tushare_fina_indicator,fina_indicator,assets_turn,float,%,1,总资产周转率,财务指标季度
fina_indicator_quarterly,op_income,tushare_fina_indicator,fina_indicator,op_income,float,无,1,经营活动净收益,财务指标季度
fina_indicator_quarterly,valuechange_income,tushare_fina_indicator,fina_indicator,valuechange_income,float,无,1,价值变动净收益,财务指标季度
fina_indicator_quarterly,interst_income,tushare_fina_indicator,fina_indicator,interst_income,float,无,1,利息费用,财务指标季度
fina_indicator_quarterly,daa,tushare_fina_indicator,fina_indicator,daa,float,无,1,折旧与摊销,财务指标季度
fina_indicator_quarterly,ebit,tushare_fina_indicator,fina_indicator,ebit,float,无,1,息税前利润,财务指标季度
fina_indicator_quarterly,ebitda,tushare_fina_indicator,fina_indicator,ebitda,float,无,1,息税折旧摊销前利润,财务指标季度
fina_indicator_quarterly,fcff,tushare_fina_indicator,fina_indicator,fcff,float,无,1,企业自由现金流量,财务指标季度
fina_indicator_quarterly,fcfe,tushare_fina_indicator,fina_indicator,fcfe,float,无,1,股权自由现金流量,财务指标季度
fina_indicator_quarterly,current_exint,tushare_fina_indicator,fina_indicator,current_exint,float,无,1,无息流动负债,财务指标季度
fina_indicator_quarterly,noncurrent_exint,tushare_fina_indicator,fina_indicator,noncurrent_exint,float,无,1,无息非流动负债,财务指标季度
fina_indicator_quarterly,interestdebt,tushare_fina_indicator,fina_indicator,interestdebt,float,无,1,带息债务,财务指标季度
fina_indicator_quarterly,netdebt,tushare_fina_indicator,fina_indicator,netdebt,float,无,1,净债务,财务指标季度
fina_indicator_quarterly,tangible_asset,tushare_fina_indicator,fina_indicator,tangible_asset,float,无,1,有形资产,财务指标季度
fina_indicator_quarterly,working_capital,tushare_fina_indicator,fina_indicator,working_capital,float,无,1,营运资金,财务指标季度
fina_indicator_quarterly,networking_capital,tushare_fina_indicator,fina_indicator,networking_capital,float,无,1,营运流动资本,财务指标季度
fina_indicator_quarterly,invest_capital,tushare_fina_indicator,fina_indicator,invest_capital,float,无,1,全部投入资本,财务指标季度
fina_indicator_quarterly,retained_earnings,tushare_fina_indicator,fina_indicator,retained_earnings,float,无,1,留存收益,财务指标季度
fina_indicator_quarterly,diluted2_eps,tushare_fina_indicator,fina_indicator,diluted2_eps,float,无,1,期末摊薄每股收益,财务指标季度
fina_indicator_quarterly,bps,tushare_fina_indicator,fina_indicator,bps,float,无,1,每股净资产,财务指标季度
fina_indicator_quarterly,ocfps,tushare_fina_indicator,fina_indicator,ocfps,float,无,1,每股经营活动产生的现金流量净额,财务指标季度
fina_indicator_quarterly,retainedps,tushare_fina_indicator,fina_indicator,retainedps,float,无,1,每股留存收益,财务指标季度
fina_indicator_quarterly,cfps,tushare_fina_indicator,fina_indicator,cfps,float,无,1,每股现金流量净额,财务指标季度
fina_indicator_quarterly,ebit_ps,tushare_fina_indicator,fina_indicator,ebit_ps,float,无,1,每股息税前利润,财务指标季度
fina_indicator_quarterly,fcff_ps,tushare_fina_indicator,fina_indicator,fcff_ps,float,无,1,每股企业自由现金流量,财务指标季度
fina_indicator_quarterly,fcfe_ps,tushare_fina_indicator,fina_indicator,fcfe_ps,float,无,1,每股股东自由现金流量,财务指标季度
fina_indicator_quarterly,netprofit_margin,tushare_fina_indicator,fina_indicator,netprofit_margin,float,%,1,销售净利率,财务指标季度
fina_indicator_quarterly,grossprofit_margin,tushare_fina_indicator,fina_indicator,grossprofit_margin,float,%,1,销售毛利率,财务指标季度
fina_indicator_quarterly,cogs_of_sales,tushare_fina_indicator,fina_indicator,cogs_of_sales,float,%,1,销售成本率,财务指标季度
fina_indicator_quarterly,expense_of_sales,tushare_fina_indicator,fina_indicator,expense_of_sales,float,%,1,销售期间费用率,财务指标季度
fina_indicator_quarterly,profit_to_gr,tushare_fina_indicator,fina_indicator,profit_to_gr,float,无,1,净利润/营业总收入,财务指标季度
