数据集,规范字段名,来源系统,来源接口,来源字段名,来源数据类型,来源单位,转换系数,来源字段说明,备注
fina_indicator_quarterly,saleexp_to_gr,tushare_fina_indicator,fina_indicator,saleexp_to_gr,float,无,1,销售费用/营业总收入,财务指标季度
fina_indicator_quarterly,adminexp_of_gr,tushare_fina_indicator,fina_indicator,adminexp_of_gr,float,无,1,管理费用/营业总收入,财务指标季度
fina_indicator_quarterly,finaexp_of_gr,tushare_fina_indicator,fina_indicator,finaexp_of_gr,float,无,1,财务费用/营业总收入,财务指标季度
fina_indicator_quarterly,impai_ttm,tushare_fina_indicator,fina_indicator,impai_ttm,float,无,1,资产减值损失/营业总收入,财务指标季度
fina_indicator_quarterly,gc_of_gr,tushare_fina_indicator,fina_indicator,gc_of_gr,float,无,1,营业总成本/营业总收入,财务指标季度
fina_indicator_quarterly,op_of_gr,tushare_fina_indicator,fina_indicator,op_of_gr,float,无,1,营业利润/营业总收入,财务指标季度
fina_indicator_quarterly,ebit_of_gr,tushare_fina_indicator,fina_indicator,ebit_of_gr,float,无,1,息税前利润/营业总收入,财务指标季度
fina_indicator_quarterly,roe,tushare_fina_indicator,fina_indicator,roe,float,%,1,净资产收益率,财务指标季度
fina_indicator_quarterly,roe_waa,tushare_fina_indicator,fina_indicator,roe_waa,float,%,1,加权平均净资产收益率,财务指标季度
fina_indicator_quarterly,roe_dt,tushare_fina_indicator,fina_indicator,roe_dt,float,无,1,净资产收益率(扣除非经常损益),财务指标季度
fina_indicator_quarterly,roa,tushare_fina_indicator,fina_indicator,roa,float,%,1,总资产报酬率,财务指标季度
fina_indicator_quarterly,npta,tushare_fina_indicator,fina_indicator,npta,float,无,1,总资产净利润,财务指标季度
fina_indicator_quarterly,roic,tushare_fina_indicator,fina_indicator,roic,float,%,1,投入资本回报率,财务指标季度
fina_indicator_quarterly,roe_yearly,tushare_fina_indicator,fina_indicator,roe_yearly,float,%,1,年化净资产收益率,财务指标季度
fina_indicator_quarterly,roa2_yearly,tushare_fina_indicator,fina_indicator,roa2_yearly,float,%,1,年化总资产报酬率,财务指标季度
fina_indicator_quarterly,roe_avg,tushare_fina_indicator,fina_indicator,roe_avg,float,无,1,平均净资产收益率(增发条件),财务指标季度
fina_indicator_quarterly,opincome_of_ebt,tushare_fina_indicator,fina_indicator,opincome_of_ebt,float,无,1,经营活动净收益/利润总额,财务指标季度
fina_indicator_quarterly,investincome_of_ebt,tushare_fina_indicator,fina_indicator,investincome_of_ebt,float,无,1,价值变动净收益/利润总额,财务指标季度
fina_indicator_quarterly,n_op_profit_of_ebt,tushare_fina_indicator,fina_indicator,n_op_profit_of_ebt,float,无,1,营业外收支净额/利润总额,财务指标季度
fina_indicator_quarterly,tax_to_ebt,tushare_fina_indicator,fina_indicator,tax_to_ebt,float,无,1,所得税/利润总额,财务指标季度
fina_indicator_quarterly,dtprofit_to_profit,tushare_fina_indicator,fina_indicator,dtprofit_to_profit,float,无,1,扣除非经常损益后的净利润/净利润,财务指标季度
fina_indicator_quarterly,salescash_to_or,tushare_fina_indicator,fina_indicator,salescash_to_or,float,无,1,销售商品提供劳务收到的现金/营业收入,财务指标季度
fina_indicator_quarterly,ocf_to_or,tushare_fina_indicator,fina_indicator,ocf_to_or,float,无,1,经营活动产生的现金流量净额/营业收入,财务指标季度
fina_indicator_quarterly,ocf_to_opincome,tushare_fina_indicator,fina_indicator,ocf_to_opincome,float,无,1,经营活动产生的现金流量净额/经营活动净收益,财务指标季度
fina_indicator_quarterly,capitalized_to_da,tushare_fina_indicator,fina_indicator,capitalized_to_da,float,无,1,资本支出/折旧和摊销,财务指标季度
fina_indicator_quarterly,debt_to_assets,tushare_fina_indicator,fina_indicator,debt_to_assets,float,%,1,资产负债率,财务指标季度
fina_indicator_quarterly,assets_to_eqt,tushare_fina_indicator,fina_indicator,assets_to_eqt,float,无,1,权益乘数,财务指标季度
fina_indicator_quarterly,dp_assets_to_eqt,tushare_fina_indicator,fina_indicator,dp_assets_to_eqt,float,无,1,权益乘数(杜邦分析),财务指标季度
fina_indicator_quarterly,ca_to_assets,tushare_fina_indicator,fina_indicator,ca_to_assets,float,无,1,流动资产/总资产,财务指标季度
fina_indicator_quarterly,nca_to_assets,tushare_fina_indicator,fina_indicator,nca_to_assets,float,无,1,非流动资产/总资产,财务指标季度
fina_indicator_quarterly,tbassets_to_totalassets,tushare_fina_indicator,fina_indicator,tbassets_to_totalassets,float,无,1,有形资产/总资产,财务指标季度
fina_indicator_quarterly,int_to_talcap,tushare_fina_indicator,fina_indicator,int_to_talcap,float,无,1,带息债务/全部投入资本,财务指标季度
fina_indicator_quarterly,eqt_to_talcapital,tushare_fina_indicator,fina_indicator,eqt_to_talcapital,float,无,1,归属于母公司的股东权益/全部投入资本,财务指标季度
fina_indicator_quarterly,currentdebt_to_debt,tushare_fina_indicator,fina_indicator,currentdebt_to_debt,float,无,1,流动负债/负债合计,财务指标季度
fina_indicator_quarterly,longdeb_to_debt,tushare_fina_indicator,fina_indicator,longdeb_to_debt,float,无,1,非流动负债/负债合计,财务指标季度
fina_indicator_quarterly,ocf_to_shortdebt,tushare_fina_indicator,fina_indicator,ocf_to_shortdebt,float,无,1,经营活动产生的现金流量净额/流动负债,财务指标季度
fina_indicator_quarterly,debt_to_eqt,tushare_fina_indicator,fina_indicator,debt_to_eqt,float,%,1,产权比率,财务指标季度
fina_indicator_quarterly,eqt_to_debt,tushare_fina_indicator,fina_indicator,eqt_to_debt,float,无,1,归属于母公司的股东权益/负债合计,财务指标季度
fina_indicator_quarterly,eqt_to_interestdebt,tushare_fina_indicator,fina_indicator,eqt_to_interestdebt,float,无,1,归属于母公司的股东权益/带息债务,财务指标季度
fina_indicator_quarterly,tangibleasset_to_debt,tushare_fina_indicator,fina_indicator,tangibleasset_to_debt,float,无,1,有形资产/负债合计,财务指标季度
fina_indicator_quarterly,tangasset_to_intdebt,tushare_fina_indicator,fina_indicator,tangasset_to_intdebt,float,无,1,有形资产/带息债务,财务指标季度
fina_indicator_quarterly,tangibleasset_to_netdebt,tushare_fina_indicator,fina_indicator,tangibleasset_to_netdebt,float,无,1,有形资产/净债务,财务指标季度
fina_indicator_quarterly,ocf_to_debt,tushare_fina_indicator,fina_indicator,ocf_to_debt,float,无,1,经营活动产生的现金流量净额/负债合计,财务指标季度
fina_indicator_quarterly,ocf_to_interestdebt,tushare_fina_indicator,fina_indicator,ocf_to_interestdebt,float,无,1,经营活动产生的现金流量净额/带息债务,财务指标季度
fina_indicator_quarterly,ocf_to_netdebt,tushare_fina_indicator,fina_indicator,ocf_to_netdebt,float,无,1,经营活动产生的现金流量净额/净债务,财务指标季度
fina_indicator_quarterly,ebit_to_interest,tushare_fina_indicator,fina_indicator,ebit_to_interest,float,无,1,已获利息倍数(EBIT/利息费用),财务指标季度
fina_indicator_quarterly,longdebt_to_workingcapital,tushare_fina_indicator,fina_indicator,longdebt_to_workingcapital,float,%,1,长期债务与营运资金比率,财务指标季度
fina_indicator_quarterly,ebitda_to_debt,tushare_fina_indicator,fina_indicator,ebitda_to_debt,float,无,1,息税折旧摊销前利润/负债合计,财务指标季度
fina_indicator_quarterly,turn_days,tushare_fina_indicator,fina_indicator,turn_days,float,无,1,营业周期,财务指标季度
fina_indicator_quarterly,roa_yearly,tushare_fina_indicator,fina_indicator,roa_yearly,float,%,1,年化总资产净利率,财务指标季度
fina_indicator_quarterly,roa_dp,tushare_fina_indicator,fina_indicator,roa_dp,float,无,1,总资产净利率(杜邦分析),财务指标季度
fina_indicator_quarterly,fixed_assets,tushare_fina_indicator,fina_indicator,fixed_assets,float,无,1,固定资产合计,财务指标季度
fina_indicator_quarterly,profit_prefin_exp,tushare_fina_indicator,fina_indicator,profit_prefin_exp,float,无,1,扣除财务费用前营业利润,财务指标季度
fina_indicator_quarterly,non_op_profit,tushare_fina_indicator,fina_indicator,non_op_profit,float,无,1,非营业利润,财务指标季度
fina_indicator_quarterly,op_to_ebt,tushare_fina_indicator,fina_indicator,op_to_ebt,float,无,1,营业利润／利润总额,财务指标季度
fina_indicator_quarterly,nop_to_ebt,tushare_fina_indicator,fina_indicator,nop_to_ebt,float,无,1,非营业利润／利润总额,财务指标季度
fina_indicator_quarterly,ocf_to_profit,tushare_fina_indicator,fina_indicator,ocf_to_profit,float,无,1,经营活动产生的现金流量净额／营业利润,财务指标季度
fina_indicator_quarterly,cash_to_liqdebt,tushare_fina_indicator,fina_indicator,cash_to_liqdebt,float,无,1,货币资金／流动负债,财务指标季度
fina_indicator_quarterly,cash_to_liqdebt_withinterest,tushare_fina_indicator,fina_indicator,cash_to_liqdebt_withinterest,float,无,1,货币资金／带息流动负债,财务指标季度
fina_indicator_quarterly,op_to_liqdebt,tushare_fina_indicator,fina_indicator,op_to_liqdebt,float,无,1,营业利润／流动负债,财务指标季度
fina_indicator_quarterly,op_to_debt,tushare_fina_indicator,fina_indicator,op_to_debt,float,无,1,营业利润／负债合计,财务指标季度
fina_indicator_quarterly,roic_yearly,tushare_fina_indicator,fina_indicator,roic_yearly,float,%,1,年化投入资本回报率,财务指标季度
fina_indicator_quarterly,total_fa_trun,tushare_fina_indicator,fina_indicator,total_fa_trun,float,%,1,固定资产合计周转率,财务指标季度
fina_indicator_quarterly,profit_to_op,tushare_fina_indicator,fina_indicator,profit_to_op,float,无,1,利润总额／营业收入,财务指标季度
fina_indicator_quarterly,q_opincome,tushare_fina_indicator,fina_indicator,q_opincome,float,无,1,经营活动单季度净收益,财务指标季度
fina_indicator_quarterly,q_investincome,tushare_fina_indicator,fina_indicator,q_investincome,float,无,1,价值变动单季度净收益,财务指标季度
fina_indicator_quarterly,q_dtprofit,tushare_fina_indicator,fina_indicator,q_dtprofit,float,无,1,扣除非经常损益后的单季度净利润,财务指标季度
fina_indicator_quarterly,q_eps,tushare_fina_indicator,fina_indicator,q_eps,float,无,1,每股收益(单季度),财务指标季度
fina_indicator_quarterly,q_netprofit_margin,tushare_fina_indicator,fina_indicator,q_netprofit_margin,float,无,1,销售净利率(单季度),财务指标季度
fina_indicator_quarterly,q_gsprofit_margin,tushare_fina_indicator,fina_indicator,q_gsprofit_margin,float,无,1,销售毛利率(单季度),财务指标季度
fina_indicator_quarterly,q_exp_to_sales,tushare_fina_indicator,fina_indicator,q_exp_to_sales,float,无,1,销售期间费用率(单季度),财务指标季度
fina_indicator_quarterly,q_profit_to_gr,tushare_fina_indicator,fina_indicator,q_profit_to_gr,float,无,1,净利润／营业总收入(单季度),财务指标季度
fina_indicator_quarterly,q_saleexp_to_gr,tushare_fina_indicator,fina_indicator,q_saleexp_to_gr,float,无,1,销售费用／营业总收入 (单季度),财务指标季度
fina_indicator_quarterly,q_adminexp_to_gr,tushare_fina_indicator,fina_indicator,q_adminexp_to_gr,float,无,1,管理费用／营业总收入 (单季度),财务指标季度
fina_indicator_quarterly,q_finaexp_to_gr,tushare_fina_indicator,fina_indicator,q_finaexp_to_gr,float,无,1,财务费用／营业总收入 (单季度),财务指标季度
fina_indicator_quarterly,q_impair_to_gr_ttm,tushare_fina_indicator,fina_indicator,q_impair_to_gr_ttm,float,无,1,资产减值损失／营业总收入(单季度),财务指标季度
fina_indicator_quarterly,q_gc_to_gr,tushare_fina_indicator,fina_indicator,q_gc_to_gr,float,无,1,营业总成本／营业总收入 (单季度),财务指标季度
fina_indicator_quarterly,q_op_to_gr,tushare_fina_indicator,fina_indicator,q_op_to_gr,float,无,1,营业利润／营业总收入(单季度),财务指标季度
fina_indicator_quarterly,q_roe,tushare_fina_indicator,fina_indicator,q_roe,float,无,1,净资产收益率(单季度),财务指标季度
fina_indicator_quarterly,q_dt_roe,tushare_fina_indicator,fina_indicator,q_dt_roe,float,无,1,净资产单季度收益率(扣除非经常损益),财务指标季度
fina_indicator_quarterly,q_npta,tushare_fina_indicator,fina_indicator,q_npta,float,无,1,总资产净利润(单季度),财务指标季度
fina_indicator_quarterly,q_opincome_to_ebt,tushare_fina_indicator,fina_indicator,q_opincome_to_ebt,float,无,1,经营活动净收益／利润总额(单季度),财务指标季度
fina_indicator_quarterly,q_investincome_to_ebt,tushare_fina_indicator,fina_indicator,q_investincome_to_ebt,float,无,1,价值变动净收益／利润总额(单季度),财务指标季度
fina_indicator_quarterly,q_dtprofit_to_profit,tushare_fina_indicator,fina_indicator,q_dtprofit_to_profit,float,无,1,扣除非经常损益后的净利润／净利润(单季度),财务指标季度
fina_indicator_quarterly,q_salescash_to_or,tushare_fina_indicator,fina_indicator,q_salescash_to_or,float,无,1,销售商品提供劳务收到的现金／营业收入(单季度),财务指标季度
fina_indicator_quarterly,q_ocf_to_sales,tushare_fina_indicator,fina_indicator,q_ocf_to_sales,float,无,1,经营活动产生的现金流量净额／营业收入(单季度),财务指标季度
fina_indicator_quarterly,q_ocf_to_or,tushare_fina_indicator,fina_indicator,q_ocf_to_or,float,无,1,经营活动产生的现金流量净额／经营活动净收益(单季度),财务指标季度
fina_indicator_quarterly,basic_eps_yoy,tushare_fina_indicator,fina_indicator,basic_eps_yoy,float,%,1,基本每股收益同比增长率(%),财务指标季度
fina_indicator_quarterly,dt_eps_yoy,tushare_fina_indicator,fina_indicator,dt_eps_yoy,float,%,1,稀释每股收益同比增长率(%),财务指标季度
fina_indicator_quarterly,cfps_yoy,tushare_fina_indicator,fina_indicator,cfps_yoy,float,%,1,每股经营活动产生的现金流量净额同比增长率(%),财务指标季度
fina_indicator_quarterly,op_yoy,tushare_fina_indicator,fina_indicator,op_yoy,float,%,1,营业利润同比增长率(%),财务指标季度
fina_indicator_quarterly,ebt_yoy,tushare_fina_indicator,fina_indicator,ebt_yoy,float,%,1,利润总额同比增长率(%),财务指标季度
fina_indicator_quarterly,netprofit_yoy,tushare_fina_indicator,fina_indicator,netprofit_yoy,float,%,1,归属母公司股东的净利润同比增长率(%),财务指标季度
fina_indicator_quarterly,dt_netprofit_yoy,tushare_fina_indicator,fina_indicator,dt_netprofit_yoy,float,%,1,归属母公司股东的净利润-扣除非经常损益同比增长率(%),财务指标季度
fina_indicator_quarterly,ocf_yoy,tushare_fina_indicator,fina_indicator,ocf_yoy,float,%,1,经营活动产生的现金流量净额同比增长率(%),财务指标季度
fina_indicator_quarterly,roe_yoy,tushare_fina_indicator,fina_indicator,roe_yoy,float,%,1,净资产收益率(摊薄)同比增长率(%),财务指标季度
fina_indicator_quarterly,bps_yoy,tushare_fina_indicator,fina_indicator,bps_yoy,float,%,1,每股净资产相对年初增长率(%),财务指标季度
fina_indicator_quarterly,assets_yoy,tushare_fina_indicator,fina_indicator,assets_yoy,float,%,1,资产总计相对年初增长率(%),财务指标季度
fina_indicator_quarterly,eqt_yoy,tushare_fina_indicator,fina_indicator,eqt_yoy,float,%,1,归属母公司的股东权益相对年初增长率(%),财务指标季度
fina_indicator_quarterly,tr_yoy,tushare_fina_indicator,fina_indicator,tr_yoy,float,%,1,营业总收入同比增长率(%),财务指标季度
fina_indicator_quarterly,or_yoy,tushare_fina_indicator,fina_indicator,or_yoy,float,%,1,营业收入同比增长率(%),财务指标季度
fina_indicator_quarterly,q_gr_yoy,tushare_fina_indicator,fina_indicator,q_gr_yoy,float,%,1,营业总收入同比增长率(%)(单季度),财务指标季度
fina_indicator_quarterly,q_gr_qoq,tushare_fina_indicator,fina_indicator,q_gr_qoq,float,%,1,营业总收入环比增长率(%)(单季度),财务指标季度
fina_indicator_quarterly,q_sales_yoy,tushare_fina_indicator,fina_indicator,q_sales_yoy,float,%,1,营业收入同比增长率(%)(单季度),财务指标季度
fina_indicator_quarterly,q_sales_qoq,tushare_fina_indicator,fina_indicator,q_sales_qoq,float,%,1,营业收入环比增长率(%)(单季度),财务指标季度
fina_indicator_quarterly,q_op_yoy,tushare_fina_indicator,fina_indicator,q_op_yoy,float,%,1,营业利润同比增长率(%)(单季度),财务指标季度
fina_indicator_quarterly,q_op_qoq,tushare_fina_indicator,fina_indicator,q_op_qoq,float,%,1,营业利润环比增长率(%)(单季度),财务指标季度
fina_indicator_quarterly,q_profit_yoy,tushare_fina_indicator,fina_indicator,q_profit_yoy,float,%,1,净利润同比增长率(%)(单季度),财务指标季度
fina_indicator_quarterly,q_profit_qoq,tushare_fina_indicator,fina_indicator,q_profit_qoq,float,%,1,净利润环比增长率(%)(单季度),财务指标季度
fina_indicator_quarterly,q_netprofit_yoy,tushare_fina_indicator,fina_indicator,q_netprofit_yoy,float,%,1,归属母公司股东的净利润同比增长率(%)(单季度),财务指标季度
fina_indicator_quarterly,q_netprofit_qoq,tushare_fina_indicator,fina_indicator,q_netprofit_qoq,float,%,1,归属母公司股东的净利润环比增长率(%)(单季度),财务指标季度
fina_indicator_quarterly,equity_yoy,tushare_fina_indicator,fina_indicator,equity_yoy,float,%,1,净资产同比增长率,财务指标季度
fina_indicator_quarterly,rd_exp,tushare_fina_indicator,fina_indicator,rd_exp,float,无,1,研发费用,财务指标季度
fina_indicator_quarterly,update_flag,tushare_fina_indicator,fina_indicator,update_flag,str,无,1,更新标识,财务指标季度
income_quarterly,ts_code,tushare_income,income,ts_code,str,无,1,TS代码,利润表季度
income_quarterly,ann_date,tushare_income,income,ann_date,str,无,1,公告日期,利润表季度
income_quarterly,f_ann_date,tushare_income,income,f_ann_date,str,无,1,实际公告日期,利润表季度
income_quarterly,end_date,tushare_income,income,end_date,str,无,1,报告期,利润表季度
income_quarterly,report_type,tushare_income,income,report_type,str,无,1,报告类型 见底部表,利润表季度
income_quarterly,comp_type,tushare_income,income,comp_type,str,无,1,公司类型(1一般工商业2银行3保险4证券),利润表季度
income_quarterly,end_type,tushare_income,income,end_type,str,无,1,报告期类型,利润表季度
income_quarterly,basic_eps,tushare_income,income,basic_eps,float,无,1,基本每股收益,利润表季度
income_quarterly,diluted_eps,tushare_income,income,diluted_eps,float,无,1,稀释每股收益,利润表季度
income_quarterly,total_revenue,tushare_income,income,total_revenue,float,无,1,营业总收入,利润表季度
income_quarterly,revenue,tushare_income,income,revenue,float,无,1,营业收入,利润表季度
income_quarterly,int_income,tushare_income,income,int_income,float,无,1,利息收入,利润表季度
income_quarterly,prem_earned,tushare_income,income,prem_earned,float,无,1,已赚保费,利润表季度
income_quarterly,comm_income,tushare_income,income,comm_income,float,无,1,手续费及佣金收入,利润表季度
income_quarterly,n_commis_income,tushare_income,income,n_commis_income,float,无,1,手续费及佣金净收入,利润表季度
income_quarterly,n_oth_income,tushare_income,income,n_oth_income,float,无,1,其他经营净收益,利润表季度
income_quarterly,n_oth_b_income,tushare_income,income,n_oth_b_income,float,无,1,加:其他业务净收益,利润表季度
income_quarterly,prem_income,tushare_income,income,prem_income,float,无,1,保险业务收入,利润表季度
income_quarterly,out_prem,tushare_income,income,out_prem,float,无,1,减:分出保费,利润表季度
income_quarterly,une_prem_reser,tushare_income,income,une_prem_reser,float,无,1,提取未到期责任准备金,利润表季度
income_quarterly,reins_income,tushare_income,income,reins_income,float,无,1,其中:分保费收入,利润表季度
income_quarterly,n_sec_tb_income,tushare_income,income,n_sec_tb_income,float,无,1,代理买卖证券业务净收入,利润表季度
income_quarterly,n_sec_uw_income,tushare_income,income,n_sec_uw_income,float,无,1,证券承销业务净收入,利润表季度
income_quarterly,n_asset_mg_income,tushare_income,income,n_asset_mg_income,float,无,1,受托客户资产管理业务净收入,利润表季度
income_quarterly,oth_b_income,tushare_income,income,oth_b_income,float,无,1,其他业务收入,利润表季度
income_quarterly,fv_value_chg_gain,tushare_income,income,fv_value_chg_gain,float,无,1,加:公允价值变动净收益,利润表季度
income_quarterly,invest_income,tushare_income,income,invest_income,float,无,1,加:投资净收益,利润表季度
income_quarterly,ass_invest_income,tushare_income,income,ass_invest_income,float,无,1,其中:对联营企业和合营企业的投资收益,利润表季度
income_quarterly,forex_gain,tushare_income,income,forex_gain,float,无,1,加:汇兑净收益,利润表季度
income_quarterly,total_cogs,tushare_income,income,total_cogs,float,无,1,营业总成本,利润表季度
income_quarterly,oper_cost,tushare_income,income,oper_cost,float,无,1,减:营业成本,利润表季度
income_quarterly,int_exp,tushare_income,income,int_exp,float,无,1,减:利息支出,利润表季度
income_quarterly,comm_exp,tushare_income,income,comm_exp,float,无,1,减:手续费及佣金支出,利润表季度
income_quarterly,biz_tax_surchg,tushare_income,income,biz_tax_surchg,float,无,1,减:营业税金及附加,利润表季度
income_quarterly,sell_exp,tushare_income,income,sell_exp,float,无,1,减:销售费用,利润表季度
income_quarterly,admin_exp,tushare_income,income,admin_exp,float,无,1,减:管理费用,利润表季度
income_quarterly,fin_exp,tushare_income,income,fin_exp,float,无,1,减:财务费用,利润表季度
income_quarterly,assets_impair_loss,tushare_income,income,assets_impair_loss,float,无,1,减:资产减值损失,利润表季度
income_quarterly,prem_refund,tushare_income,income,prem_refund,float,无,1,退保金,利润表季度
income_quarterly,compens_payout,tushare_income,income,compens_payout,float,无,1,赔付总支出,利润表季度
income_quarterly,reser_insur_liab,tushare_income,income,reser_insur_liab,float,无,1,提取保险责任准备金,利润表季度
income_quarterly,div_payt,tushare_income,income,div_payt,float,无,1,保户红利支出,利润表季度
income_quarterly,reins_exp,tushare_income,income,reins_exp,float,无,1,分保费用,利润表季度
income_quarterly,oper_exp,tushare_income,income,oper_exp,float,无,1,营业支出,利润表季度
income_quarterly,compens_payout_refu,tushare_income,income,compens_payout_refu,float,无,1,减:摊回赔付支出,利润表季度
income_quarterly,insur_reser_refu,tushare_income,income,insur_reser_refu,float,无,1,减:摊回保险责任准备金,利润表季度
income_quarterly,reins_cost_refund,tushare_income,income,reins_cost_refund,float,无,1,减:摊回分保费用,利润表季度
income_quarterly,other_bus_cost,tushare_income,income,other_bus_cost,float,无,1,其他业务成本,利润表季度
income_quarterly,operate_profit,tushare_income,income,operate_profit,float,无,1,营业利润,利润表季度
income_quarterly,non_oper_income,tushare_income,income,non_oper_income,float,无,1,加:营业外收入,利润表季度
income_quarterly,non_oper_exp,tushare_income,income,non_oper_exp,float,无,1,减:营业外支出,利润表季度
income_quarterly,nca_disploss,tushare_income,income,nca_disploss,float,无,1,其中:减:非流动资产处置净损失,利润表季度
income_quarterly,total_profit,tushare_income,income,total_profit,float,无,1,利润总额,利润表季度
income_quarterly,income_tax,tushare_income,income,income_tax,float,无,1,所得税费用,利润表季度
income_quarterly,n_income,tushare_income,income,n_income,float,无,1,净利润(含少数股东损益),利润表季度
income_quarterly,n_income_attr_p,tushare_income,income,n_income_attr_p,float,无,1,净利润(不含少数股东损益),利润表季度
income_quarterly,minority_gain,tushare_income,income,minority_gain,float,无,1,少数股东损益,利润表季度
income_quarterly,oth_compr_income,tushare_income,income,oth_compr_income,float,无,1,其他综合收益,利润表季度
income_quarterly,t_compr_income,tushare_income,income,t_compr_income,float,无,1,综合收益总额,利润表季度
income_quarterly,compr_inc_attr_p,tushare_income,income,compr_inc_attr_p,float,无,1,归属于母公司(或股东)的综合收益总额,利润表季度
income_quarterly,compr_inc_attr_m_s,tushare_income,income,compr_inc_attr_m_s,float,无,1,归属于少数股东的综合收益总额,利润表季度
income_quarterly,ebit,tushare_income,income,ebit,float,无,1,息税前利润,利润表季度
income_quarterly,ebitda,tushare_income,income,ebitda,float,无,1,息税折旧摊销前利润,利润表季度
income_quarterly,insurance_exp,tushare_income,income,insurance_exp,float,无,1,保险业务支出,利润表季度
income_quarterly,undist_profit,tushare_income,income,undist_profit,float,无,1,年初未分配利润,利润表季度
income_quarterly,distable_profit,tushare_income,income,distable_profit,float,无,1,可分配利润,利润表季度
income_quarterly,rd_exp,tushare_income,income,rd_exp,float,无,1,研发费用,利润表季度
